SalePrice,MSZoning,LotArea,Utilities,Condition1,Condition2,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,TotalBsmtSF,Heating,HeatingQC,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageArea,GarageQual,GarageCond,PoolArea,PoolQC,Fence,MiscFeature,MiscVal
208500,RL,8450,AllPub,Norm,Norm,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,856,GasA,Ex,1710,3,1,Gd,8,0,,548,TA,TA,0,,,,0
181500,RL,9600,AllPub,Feedr,Norm,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,Gd,TA,1262,GasA,Ex,1262,3,1,TA,6,1,TA,460,TA,TA,0,,,,0
223500,RL,11250,AllPub,Norm,Norm,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,920,GasA,Ex,1786,3,1,Gd,6,1,TA,608,TA,TA,0,,,,0
140000,RL,9550,AllPub,Norm,Norm,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,TA,TA,BrkTil,TA,Gd,756,GasA,Gd,1717,3,1,Gd,7,1,Gd,642,TA,TA,0,,,,0
250000,RL,14260,AllPub,Norm,Norm,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,1145,GasA,Ex,2198,4,1,Gd,9,1,TA,836,TA,TA,0,,,,0
143000,RL,14115,AllPub,Norm,Norm,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,TA,TA,Wood,Gd,TA,796,GasA,Ex,1362,1,1,TA,5,0,,480,TA,TA,0,,MnPrv,Shed,700
307000,RL,10084,AllPub,Norm,Norm,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,1686,GasA,Ex,1694,3,1,Gd,7,1,Gd,636,TA,TA,0,,,,0
200000,RL,10382,AllPub,PosN,Norm,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,Gd,TA,1107,GasA,Ex,2090,3,1,TA,7,2,TA,484,TA,TA,0,,,Shed,350
129900,RM,6120,AllPub,Artery,Norm,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,TA,TA,BrkTil,TA,TA,952,GasA,Gd,1774,2,2,TA,8,2,TA,468,Fa,TA,0,,,,0
118000,RL,7420,AllPub,Artery,Artery,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,991,GasA,Ex,1077,2,2,TA,5,2,TA,205,Gd,TA,0,,,,0
